source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	bold_tasks	bold_timepoints	bold_trs	datatypes
ds000113	sub-01	ses-auditoryperception	8	0	0	1285383157	0	2448.0	306.0	7372800	921600.0	auditoryperception	1224	{"2.0":8}	func
ds000113	sub-01	ses-forrestgump	16	1	1	7497174255	13932380	14396.0	899.75	14745600	921600.0	forrestgump	7198	{"2.0":16}	anat,dwi,fmap,func
ds000113	sub-01	ses-localizer	9	0	0	138445518	0	2064.000738143921	229.33341534932455	2016000	224000.0	movielocalizer,objectcategories,retmapccw,retmapclw,retmapcon,retmapexp	1032	{"2.0":9}	func
ds000113	sub-01	ses-movie	8	0	0	511932174	0	7198.002574205399	899.7503217756748	1792000	224000.0	movie	3599	{"2.0":8}	func
ds000113	sub-02	ses-auditoryperception	8	0	0	1360696655	0	2448.0	306.0	7372800	921600.0	auditoryperception	1224	{"2.0":8}	func
ds000113	sub-02	ses-forrestgump	16	1	1	7816803229	15753974	14396.0	899.75	14745600	921600.0	forrestgump	7198	{"2.0":16}	anat,dwi,fmap,func
ds000113	sub-02	ses-localizer	13	0	0	208819508	0	2784.0009956359863	214.1539227412297	2912000	224000.0	movielocalizer,objectcategories,retmapccw,retmapclw,retmapcon,retmapexp	1392	{"2.0":13}	func
ds000113	sub-02	ses-movie	8	0	0	552700674	0	7198.002574205399	899.7503217756748	1792000	224000.0	movie	3599	{"2.0":8}	func
ds000113	sub-03	ses-auditoryperception	8	0	0	1346562861	0	2448.0	306.0	7372800	921600.0	auditoryperception	1224	{"2.0":8}	func
ds000113	sub-03	ses-forrestgump	16	1	1	7152870504	11593228	14396.0	899.75	14745600	921600.0	forrestgump	7198	{"2.0":16}	anat,dwi,fmap,func
ds000113	sub-03	ses-localizer	9	0	0	125797963	0	2064.000738143921	229.33341534932455	2016000	224000.0	movielocalizer,objectcategories,retmapccw,retmapclw,retmapcon,retmapexp	1032	{"2.0":9}	func
ds000113	sub-03	ses-movie	8	0	0	458172675	0	7198.002574205399	899.7503217756748	1792000	224000.0	movie	3599	{"2.0":8}	func
ds000113	sub-04	ses-auditoryperception	8	0	0	1382358834	0	2448.0	306.0	7372800	921600.0	auditoryperception	1224	{"2.0":8}	func
ds000113	sub-04	ses-forrestgump	16	1	1	7240580932	13007380	14096.0	881.0	14745600	921600.0	forrestgump	7048	{"2.0":16}	anat,dwi,fmap,func
ds000113	sub-04	ses-localizer	9	0	0	141393023	0	2064.000738143921	229.33341534932455	2016000	224000.0	movielocalizer,objectcategories,retmapccw,retmapclw,retmapcon,retmapexp	1032	{"2.0":9}	func
ds000113	sub-04	ses-movie	8	0	0	489446543	0	7198.002574205399	899.7503217756748	1792000	224000.0	movie	3599	{"2.0":8}	func
ds000113	sub-04	ses-r08	22	0	0	4297322555	0	5320.0	241.8181818181818	28424200	1292009.0909090908	coverage,orientation	2540	{"2.0":20,"4.0":2}	func
ds000113	sub-04	ses-r14	20	0	0	1907921113	0	4840.0	242.0	12544000	627200.0	orientation	2420	{"2.0":20}	func
ds000113	sub-04	ses-r20	20	0	0	1041781282	0	4840.0	242.0	7400000	370000.0	orientation	2420	{"2.0":20}	func
ds000113	sub-04	ses-r30	20	0	0	467025332	0	4840.0	242.0	3223440	161172.0	orientation	2420	{"2.0":20}	func
ds000113	sub-05	ses-auditoryperception	8	0	0	1439747063	0	2448.0	306.0	7372800	921600.0	auditoryperception	1224	{"2.0":8}	func
ds000113	sub-05	ses-forrestgump	16	1	1	8320883552	17415876	14396.0	899.75	14745600	921600.0	forrestgump	7198	{"2.0":16}	anat,dwi,fmap,func
ds000113	sub-05	ses-localizer	9	0	0	155871816	0	2064.000738143921	229.33341534932455	2016000	224000.0	movielocalizer,objectcategories,retmapccw,retmapclw,retmapcon,retmapexp	1032	{"2.0":9}	func
ds000113	sub-05	ses-movie	8	0	0	537707092	0	7198.002574205399	899.7503217756748	1792000	224000.0	movie	3599	{"2.0":8}	func
